iter	TotalF1:average=Macro	MultiClass
306	0.9849900807	0.193973244
307	0.9850541943	0.1933785844
308	0.9851059496	0.1927771582
309	0.9852108883	0.192265047
310	0.9851467559	0.191760931
311	0.9851992749	0.1912546691
312	0.985250351	0.190742281
313	0.9855234721	0.189909183
314	0.9855163833	0.1892340863
315	0.985585295	0.1886997199
316	0.985535529	0.1880723352
317	0.9855863476	0.1876375287
318	0.985609419	0.1871071079
319	0.9857669767	0.1863907025
320	0.9858461162	0.1859042557
321	0.9857813847	0.1854652439
322	0.9859655466	0.184666117
323	0.985970349	0.1839652522
324	0.9860363218	0.1831230168
325	0.9861128762	0.182580482
326	0.9861357721	0.182045856
327	0.986385098	0.1811095121
328	0.9864068627	0.1804456815
329	0.9865720011	0.1795161213
330	0.9866279014	0.1787142948
331	0.9866745087	0.1780156797
332	0.9866259329	0.1773326743
333	0.9867512116	0.176399255
334	0.9868615439	0.1755724736
335	0.9869592566	0.1750983831
336	0.9869713152	0.1742272817
337	0.9869953261	0.1732479503
338	0.9869953261	0.1724201998
339	0.9871467815	0.1715252165
340	0.9871141665	0.170916124
341	0.9871604784	0.1700581057
342	0.9871932266	0.1695306789
343	0.9873704202	0.168998493
344	0.9875251726	0.1685072525
345	0.9876064918	0.1679931684
346	0.98762879	0.1672097379
347	0.9878046462	0.1664927787
348	0.9878518241	0.1657334896
349	0.9879268117	0.1651427758
350	0.9878847041	0.1645228152
351	0.9878695081	0.1639775808
352	0.9879659601	0.1632831017
353	0.9879376626	0.1625872382
354	0.9878900586	0.1619151874
355	0.9880165198	0.1614923737
356	0.9879838773	0.161102389
357	0.9880983348	0.1605567393
358	0.9881494331	0.1600390556
359	0.9882900196	0.1594872104
360	0.9882791711	0.1586451134
361	0.9882900117	0.1580429777
362	0.9883624563	0.1575937901
363	0.9883624563	0.1571747145
364	0.9884158168	0.1567893332
365	0.9884150628	0.1562933855
366	0.9884823387	0.1559513896
367	0.9884816898	0.1556210404
368	0.9885152206	0.1551350609
369	0.9885928331	0.1548834355
370	0.9886102772	0.1545325618
371	0.9886061819	0.1541153898
372	0.9886997214	0.1536586223
373	0.9886759325	0.153238266
374	0.9888043361	0.1528314255
375	0.9889094818	0.1522853432
376	0.988850857	0.1516347687
377	0.9888656244	0.1511591726
378	0.9889294588	0.1504668741
379	0.9889046643	0.1500587184
380	0.9890171227	0.1496535738
381	0.9890146727	0.1491150194
382	0.989135213	0.1488378335
383	0.9892383257	0.1483019269
384	0.9893734532	0.1478066022
385	0.9894846009	0.1472756277
386	0.9894841284	0.1466353502
387	0.9895518764	0.1462522186
388	0.9895518764	0.145932426
389	0.9895756475	0.1455042821
390	0.9896955727	0.145063358
391	0.9897659255	0.1445499229
392	0.9898610643	0.1439210672
393	0.9899234078	0.1435472893
394	0.9899815944	0.1428715524
395	0.9899819298	0.142521466
396	0.9901138099	0.1421322947
397	0.9901815199	0.1415992003
398	0.9903336423	0.1410788515
399	0.9902708264	0.1408153371
400	0.9903664232	0.1404642817
401	0.990383849	0.1402410896
402	0.9903685536	0.1397182056
403	0.9903689403	0.1393455093
404	0.9903689403	0.1390346637
405	0.9903362196	0.1386446012
406	0.990353638	0.1382458425
407	0.9904103801	0.1378786235
408	0.9904076008	0.1376305285
409	0.9905680068	0.1373539656
410	0.9905680068	0.1371227091
411	0.9905858625	0.1367398716
412	0.9905858625	0.136454777
413	0.990609823	0.1361398473
414	0.9906612406	0.135605178
415	0.9906612406	0.1353452978
416	0.9906612406	0.1350222344
417	0.9907134693	0.1343215945
418	0.990948455	0.1339514855
419	0.9909785909	0.1336887412
420	0.9908790849	0.1333763035
421	0.9910817088	0.133094644
422	0.9911914341	0.1327008434
423	0.9912141161	0.1324857505
424	0.9913666355	0.1321383379
425	0.9913239514	0.1317659877
426	0.9913566257	0.1314852887
427	0.9913993097	0.1311370801
428	0.9913993097	0.1308171836
429	0.991432207	0.1303942488
430	0.9914683129	0.1300161272
431	0.9915338031	0.1294873852
432	0.9915338031	0.1291443336
433	0.9916192072	0.1289015688
434	0.9915764999	0.1285384945
435	0.9916995276	0.1281136301
436	0.9916995145	0.1278081061
437	0.9917169632	0.127500263
438	0.99171695	0.1271844075
439	0.9917908042	0.1269437626
440	0.9918645815	0.1266407652
441	0.991936032	0.1262364081
442	0.9919690394	0.1261646326
443	0.9921547827	0.1258191496
444	0.9921675638	0.1257763265
445	0.9921675638	0.1257412391
446	0.9923455517	0.1254661213
447	0.9924896482	0.1249869601
448	0.9925424064	0.1244943698
449	0.992525203	0.1242528163
450	0.9926414293	0.1241682605
451	0.9926414293	0.1237740359
452	0.9927755509	0.123484338
453	0.9927598955	0.1232393667
454	0.9927598955	0.1228648793
455	0.9928381084	0.1225264484
456	0.9928381084	0.1221628895
457	0.9928381084	0.1219179269
458	0.9929163734	0.1217484691
459	0.9928581609	0.1214465879
460	0.9929202451	0.1211766531
461	0.9928508616	0.1210248213
462	0.9929440217	0.1207493227
463	0.9929764214	0.120315615
464	0.9929764214	0.1200059549
465	0.9929351818	0.1197837926
466	0.993092698	0.1195925296
467	0.993075197	0.1192032891
468	0.9930926491	0.118917433
469	0.993127322	0.1186835806
