iter	TotalF1:average=Macro	MultiClass
736	0.9997584591	0.04091894545
737	0.9997584591	0.04088476388
738	0.9997584591	0.04079067539
739	0.9997584591	0.04065892661
740	0.9997584591	0.04052478034
741	0.9997584591	0.04041292772
742	0.9997584591	0.04034900285
743	0.9998026482	0.04025977848
744	0.9997584591	0.04018223186
745	0.9997584591	0.04008631552
746	0.9997584591	0.04001768139
747	0.9998026482	0.03994541645
748	0.9998026482	0.03987414148
749	0.9998026482	0.03975919175
750	0.9998026482	0.03964808576
751	0.9998026482	0.0395736003
752	0.9998026482	0.03950967267
753	0.9998026482	0.03943452908
754	0.9998026482	0.03936514832
755	0.9998026482	0.03927858414
756	0.9998026482	0.03919513919
757	0.9998026482	0.03916152727
758	0.9998326978	0.03907321821
759	0.9998326978	0.03907190747
760	0.9998326978	0.03907056354
761	0.9998326978	0.03898851782
762	0.9998326978	0.03889937365
763	0.9998326978	0.03882081217
764	0.9998326978	0.03877237008
765	0.9998326978	0.03870365299
766	0.9998326978	0.03860710064
767	0.9998326978	0.03855601771
768	0.9998326978	0.03850387015
769	0.9998326978	0.03843248456
770	0.9998627473	0.03837325513
771	0.9998627473	0.03829513058
772	0.9998627473	0.03828294401
773	0.9998627473	0.0381794757
774	0.999892755	0.03808872213
775	0.9998627473	0.03801047867
776	0.999892755	0.03790775146
777	0.999892755	0.03785398068
778	0.999892755	0.03780385177
779	0.999892755	0.03780264058
780	0.999892755	0.03772955159
781	0.999892755	0.03767733213
782	0.999892755	0.037633862
783	0.999892755	0.03754035145
784	0.999892755	0.03749025849
785	0.999892755	0.03740624389
786	0.999892755	0.0373397252
787	0.999892755	0.03727262856
788	0.999892755	0.03724584687
789	0.999892755	0.03724465503
790	0.999892755	0.03724351021
791	0.999892755	0.03716316513
792	0.999892755	0.03708486637
793	0.999892755	0.03701771719
794	0.999892755	0.03697716995
795	0.999892755	0.03693876305
796	0.999892755	0.03683959474
797	0.999892755	0.03679169741
798	0.999892755	0.03672987691
799	0.999892755	0.03666099667
800	0.999892755	0.03660122525
801	0.999892755	0.0365445454
802	0.999892755	0.03651226358
803	0.999892755	0.03651101091
804	0.999892755	0.03642836789
805	0.999892755	0.03642724795
806	0.999892755	0.03637408553
807	0.999892755	0.03632613566
808	0.999892755	0.03624984172
809	0.999892755	0.03618433511
810	0.999892755	0.03612264735
811	0.999892755	0.03606782853
812	0.999892755	0.03599167285
813	0.999892755	0.03597591078
814	0.999892755	0.03589986847
815	0.9999227625	0.03582552405
816	0.9999227625	0.03573097376
817	0.9999227625	0.03569338537
818	0.9999227625	0.03563209857
819	0.9999227625	0.0355592308
820	0.9999227625	0.03550620388
821	0.9999227625	0.03544198313
822	0.9999227625	0.03539392265
823	0.9999227625	0.03533821894
824	0.9999227625	0.03529770489
825	0.9999227625	0.03521838574
826	0.9999227625	0.03514762234
827	0.9999227625	0.0350972971
828	0.9999227625	0.035030842
829	0.9999227625	0.0349540669
830	0.9999227625	0.0349009985
831	0.9999227625	0.03480561309
832	0.9999227625	0.03480443509
833	0.9999227625	0.03475688618
834	0.9999227625	0.03468176194
835	0.9999227625	0.03461275726
836	0.9999227625	0.03456567292
837	0.9999227625	0.03446097683
838	0.9999227625	0.03445983754
839	0.9999227625	0.0344213615
840	0.9999227625	0.03437155889
841	0.9999227625	0.03432590143
842	0.9999227625	0.03426876255
843	0.9999227625	0.03425915322
844	0.9999227625	0.03422342033
845	0.9999227625	0.03419165285
846	0.9999227625	0.03416552653
847	0.9999227625	0.03412992637
848	0.9999227625	0.03403788971
849	0.9999227625	0.03403682785
850	0.9999227625	0.0340358683
851	0.9999227625	0.03402069523
852	0.9999227625	0.03394059074
853	0.9999227625	0.03388161295
854	0.9999227625	0.03384244559
855	0.9999227625	0.03378106201
856	0.9999227625	0.0337397405
857	0.9999227625	0.03373882796
858	0.9999227625	0.0336797119
859	0.9999227625	0.03359572496
860	0.9999227625	0.03352717655
861	0.9999227625	0.03348317272
862	0.99995277	0.03344020864
863	0.99995277	0.0333804787
864	0.99995277	0.03333049911
865	0.99995277	0.03326153314
866	0.99995277	0.03318119084
867	0.99995277	0.03313464019
868	0.99995277	0.0330689649
869	0.99995277	0.033014583
870	0.99995277	0.03296048592
871	0.99995277	0.03290072279
872	0.99995277	0.03283360403
873	0.99995277	0.03279521371
874	0.99995277	0.03271658311
875	0.99995277	0.03267878456
876	0.99995277	0.03260827281
877	0.99995277	0.03259485292
878	0.99995277	0.03256036165
879	0.99995277	0.03249092835
880	0.99995277	0.03241667518
881	0.99995277	0.0323583334
882	0.99995277	0.03231702019
