iter	TotalF1:average=Weighted	MultiClass
301	0.9793393506	0.1132046396
302	0.9793393506	0.1132006152
303	0.9793393506	0.1131969183
304	0.9793393506	0.1131933851
305	0.9793393506	0.1129884932
306	0.9793393506	0.1129851238
307	0.9793393506	0.1129819266
308	0.9793393506	0.1129788674
309	0.9793393506	0.1129760839
310	0.9793393506	0.1125605351
311	0.9793393506	0.1125579498
312	0.9793393506	0.1120641361
313	0.9793393506	0.111858305
314	0.9793393506	0.1115997687
315	0.9793393506	0.1115969076
316	0.9793393506	0.1115942103
317	0.9793393506	0.111057481
318	0.9793393506	0.11070659
319	0.9793393506	0.1103590857
320	0.9793393506	0.1101347095
321	0.9793393506	0.1097858781
322	0.9793393506	0.1097828533
323	0.9793393506	0.1096058911
324	0.9793393506	0.1093692262
325	0.9793393506	0.1093662101
326	0.9793393506	0.1093633663
327	0.9793393506	0.1093607379
328	0.9793393506	0.1093582819
329	0.9793393506	0.1093559637
330	0.9793393506	0.1091140594
331	0.9793393506	0.1091116982
332	0.9793393506	0.1091094231
333	0.9793393506	0.1091072946
334	0.9793393506	0.1088042226
335	0.9793393506	0.1085861458
336	0.9793393506	0.1085838966
337	0.9793393506	0.1085818198
338	0.9793393506	0.1085798722
339	0.9793328175	0.1081222696
340	0.9793328175	0.1081203565
341	0.9793328175	0.1077501018
342	0.9793328175	0.1077482748
343	0.9793328175	0.1077465082
344	0.9793393506	0.1075267683
345	0.9793393506	0.1075250448
346	0.9793393506	0.107523373
347	0.9793393506	0.1075218218
348	0.9793328175	0.1075203568
349	0.9793328175	0.1075189521
